occ_id,occ_title,sector,hisco,hisco_title,hisclass,hisclass_title,skill,skill_cat,manual,year,men,women,women2,total,total2
1010,Major landowners,Agriculture,61120,Major Landowner,1,Higher Managers,1,High,0,1870,1332.949588639103,1535.205191945291,2877.235595703125,2868.15478515625,4210.18505859375
1010,Major landowners,Agriculture,61120,Major Landowner,1,Higher Managers,1,High,0,1880,1409,1462,2713,2871,4122
1010,Major landowners,Agriculture,61120,Major Landowner,1,Higher Managers,1,High,0,1890,2160,2041,3745,4201,5905
1010,Major landowners,Agriculture,61120,Major Landowner,1,Higher Managers,1,High,0,1900,1747,1676,3043,3423,4790
1010,Major landowners,Agriculture,61120,Major Landowner,1,Higher Managers,1,High,0,1910,1746,1648,3024,3394,4770
1010,Major landowners,Agriculture,61120,Major Landowner,1,Higher Managers,1,High,0,1920,1930,1819,3319,3749,5249
1010,Major landowners,Agriculture,61120,Major Landowner,1,Higher Managers,1,High,0,1930,1746,1686,2968,3432,4714
1020,Farmer (owner),Agriculture,61110,General Farmer,8,Farmers and Fishermen,2,Medium,1,1870,199641.1008227218,193721.0827801719,372733.501953125,393362.1831054688,572374.6147460938
1020,Farmer (owner),Agriculture,61110,General Farmer,8,Farmers and Fishermen,2,Medium,1,1880,211073,201873,387565,412946,598638
1020,Farmer (owner),Agriculture,61110,General Farmer,8,Farmers and Fishermen,2,Medium,1,1890,219621,208461,396447,428082,616068
1020,Farmer (owner),Agriculture,61110,General Farmer,8,Farmers and Fishermen,2,Medium,1,1900,220928,206389,388835,427317,609763
1020,Farmer (owner),Agriculture,61110,General Farmer,8,Farmers and Fishermen,2,Medium,1,1910,228468,208304,391190,436772,619658
1020,Farmer (owner),Agriculture,61110,General Farmer,8,Farmers and Fishermen,2,Medium,1,1920,212790,191394,359474,404184,572264
1020,Farmer (owner),Agriculture,61110,General Farmer,8,Farmers and Fishermen,2,Medium,1,1930,218976,196486,364279,415462,583255
1030,Other landowners,Agriculture,61115,Small Subsistence Farmer (Husbandman),10,Lower Skilled Farm Workers,3,Low,1,1920,46606,45576,80974,92182,127580
1030,Other landowners,Agriculture,61115,Small Subsistence Farmer (Husbandman),10,Lower Skilled Farm Workers,3,Low,1,1930,44316,41283,72964,85599,117280
1040,Farmer (tenant),Agriculture,61110,General Farmer,8,Farmers and Fishermen,2,Medium,1,1870,35840,34299.69921875,67521.3984375,70139.703125,103361.3984375
1040,Farmer (tenant),Agriculture,61110,General Farmer,8,Farmers and Fishermen,2,Medium,1,1880,39982,37273,73300,77255,113282
1040,Farmer (tenant),Agriculture,61110,General Farmer,8,Farmers and Fishermen,2,Medium,1,1890,37763,34605,67966,72368,105729
1040,Farmer (tenant),Agriculture,61110,General Farmer,8,Farmers and Fishermen,2,Medium,1,1900,5263,38641,75954,43904,81217
1040,Farmer (tenant),Agriculture,61110,General Farmer,8,Farmers and Fishermen,2,Medium,1,1910,44998,39546,77492,84544,122490
1040,Farmer (tenant),Agriculture,61110,General Farmer,8,Farmers and Fishermen,2,Medium,1,1920,43637,37257,73079,80894,116716
1040,Farmer (tenant),Agriculture,61110,General Farmer,8,Farmers and Fishermen,2,Medium,1,1930,51576,43316,84705,94892,136281
1050,Crofter,Agriculture,61115,Small Subsistence Farmer (Husbandman),10,Lower Skilled Farm Workers,3,Low,1,1870,95388,86185.3984375,168855.796875,181573.40625,264243.8125
1050,Crofter,Agriculture,61115,Small Subsistence Farmer (Husbandman),10,Lower Skilled Farm Workers,3,Low,1,1880,92590,89020,173701,181610,266291
1050,Crofter,Agriculture,61115,Small Subsistence Farmer (Husbandman),10,Lower Skilled Farm Workers,3,Low,1,1890,81888,78051,151662,159939,233550
1050,Crofter,Agriculture,61115,Small Subsistence Farmer (Husbandman),10,Lower Skilled Farm Workers,3,Low,1,1900,72252,68047,131667,140299,203919
1050,Crofter,Agriculture,61115,Small Subsistence Farmer (Husbandman),10,Lower Skilled Farm Workers,3,Low,1,1910,59650,55339,106543,114989,166193
1050,Crofter,Agriculture,61115,Small Subsistence Farmer (Husbandman),10,Lower Skilled Farm Workers,3,Low,1,1920,33674,29903,58238,63577,91912
1050,Crofter,Agriculture,61115,Small Subsistence Farmer (Husbandman),10,Lower Skilled Farm Workers,3,Low,1,1930,16983,14641,28559,31624,45542
1100,Landless farm tenants,Agriculture,62105,"Farm Worker, General",12,Unskilled Farm Workers,4,Unskilled,1,1870,45590,53657.94921875,94378.8984375,99247.953125,139968.90625
1100,Landless farm tenants,Agriculture,62105,"Farm Worker, General",12,Unskilled Farm Workers,4,Unskilled,1,1880,39655,46522,79520,86177,119175
1100,Landless farm tenants,Agriculture,62105,"Farm Worker, General",12,Unskilled Farm Workers,4,Unskilled,1,1890,37726,49748,79971,87474,117697
1100,Landless farm tenants,Agriculture,62105,"Farm Worker, General",12,Unskilled Farm Workers,4,Unskilled,1,1900,31605,46852,70939,78457,102544
1100,Landless farm tenants,Agriculture,62105,"Farm Worker, General",12,Unskilled Farm Workers,4,Unskilled,1,1910,22658,27604,44707,50262,67365
